pmid,title,abstract,pub_types,year,label_name
41540080,Safety of Vojta's reflex locomotion in term pregnancy: a randomized controlled pilot study of uterine activity and labor onset.,"The Vojta's method (VRL) is a neurophysiological rehabilitation method used to support and induce reflex responses of locomotor and vegetative systems. It uses involuntary motor reaction of the body during pressure stimulation of so-called trigger zones. Pregnancy is currently considered a contraindication for the use of VRL due to the potential risk of inducing regular uterine activity and, consequently, triggering labor. The aim of the study is to evaluate changes in uterine activity during Vojta's reflex locomotion and to determine whether the method is associated with the induction of labor. Secondary goal is to assess its safety in term pregnancy and its potential use for rehabilitative purposes. This single-center, single-blinded, parallel-group randomized controlled pilot trial included 40 pregnant patients between 40 + 0 to 41 + 0 weeks of gestational age. Participants were randomized (sealed envelope method) to receive either stimulation of trigger zones according to VRL (n = 20) or sham stimulation (n = 20). Cardiotocographic (CTG) recordings were conducted right before and immediately after stimulation and evaluated by two independent obstetricians. Additionally, participants completed a questionnaire evaluating subjective responses to stimulation. Primary outcomes were CTG-detected uterine changes and time from stimulation to delivery. Secondary outcomes included self-reported sensations and pain intensity (VAS). None of the patients delivered as a result of VRL stimulation. CTG showed increased uterine activity in 45% of VRL stimulated participants vs. 10% in the control group. Median time to labor onset in the VRL group was 5 days (1-8), compared to 4 days (1-9) in the control group. VRL was well tolerated (mean VAS 1.85), but rated significantly less pleasant than sham (p = 0.043). Our findings suggest that the use of VRL in term pregnancy is likely safe and well tolerated. While uterine activity was observed in 45% of cases, this activity was not sufficient to induce labor. Our findings, however, do not support pregnancy as a blanket contraindication.Trial registration: This clinical trial was registered at http://clinicaltrials.gov (ID: NCT06339528).","['Journal Article', 'Randomized Controlled Trial']",2026,clinical_trial
41538804,Cabergoline for Lactation Inhibition After Early Second-Trimester Abortion or Pregnancy Loss: A Randomized Controlled Trial.,"To evaluate cabergoline's efficacy at decreasing lactation symptoms after early second-trimester abortion or pregnancy loss.
This is a multisite, double-blind, gestational-age stratified superiority trial that compared cabergoline 1 mg once with placebo for preventing bothersome breast symptoms immediately after uterine evacuation. We enrolled pregnant people at 16-20 weeks of gestation who were English- or Spanish-speaking and without contraindication to the study drug. Participants received cabergoline within 4 hours of uterine evacuation or fetal expulsion and, at baseline and at multiple time points through 2 weeks postprocedure, completed a validated electronic survey that assessed breast symptoms, side effects, and bother. Our primary outcome was breast symptoms (a composite of engorgement, milk leakage, tenderness, and need for pain relief) on day 4; we planned to enroll 30 participants in each gestational duration strata to show a 40% difference in breast symptoms (80% power, α=0.049).
After screening 145 patients from February 2024 through May 2025, we enrolled 69 eligible participants. Baseline demographics were balanced between groups: Median gestational duration was 18 weeks (range 16 0/7-19 6/7 weeks), 53.0% were nulliparous, 63.6% self-identified as Hispanic, and 68.2% had public insurance. On day 4, significantly fewer participants who received cabergoline reported any breast symptoms compared with placebo (50.0% vs 88.2%, P<.001) (primary outcome) and fewer participants reported significant bother from breast symptoms (3.1% vs 20.6%, P=.05) (secondary outcome). These differences persist even in the earlier gestational duration strata.
Cabergoline is an effective and well-tolerated medication to prevent breast symptoms after early second-trimester abortion or pregnancy loss.
ClinicalTrials.gov: NCT06029673.","['Journal Article', 'Randomized Controlled Trial', 'Multicenter Study']",2026,clinical_trial
41538790,"Efficacy of Telehealth-Based Coaching to Improve Physical Activity and Overall Experience for Cancer Survivors: Secondary, Mixed Methods Analysis of a Randomized Controlled Trial.","Cancer survivors face significant challenges in maintaining adequate physical activity levels, which are essential for overall health and quality of life. Telehealth-based interventions offer promising opportunities to provide accessible support and promote healthier lifestyles throughout the cancer survivorship continuum. HealthScore is a telehealth coaching program designed to optimize the health of cancer survivors.
This study assessed the effectiveness of HealthScore in improving physical activity metrics among cancer survivors compared to controls. We also evaluated participants' qualitative experiences with the program to understand its impact on motivation, accountability, and overall health-related quality of life.
We performed a secondary analysis of a randomized controlled study of cancer survivors who participated in a comprehensive health coaching intervention called HealthScore. Participants in control and intervention groups received a Fitbit activity tracker that collected heart rate, step counts, active minutes, and calories burned. These metrics were analyzed using statistical methods to compare overall averages and temporal trends between intervention and control groups. Eleven exit interviews were conducted with intervention arm participants to ascertain their experiences with HealthScore. Inductive thematic analysis was performed to identify emerging themes. Data were collected between May 2020 and March 2022.
Of the 32 participants enrolled, 20 (62%) were in the intervention group. Compared to the control group, intervention participants had significantly higher average daily steps (mean 3660, SD 3344; 95% CI 3557-3764 vs mean 3408, SD 3288; 95% CI 3299-3518; P=.001) and more moving average daily steps (mean 4813, SD 1723; 95% CI 4680-4946 vs mean 4581, SD 1224; 95% CI 4494-4669; P=.003). Moving average daily step counts in the intervention arm showed an increasing trend, which was significantly higher than that of the control group (regression slope=5.89 vs 2.80; P<.001). Compared to the control group, the intervention participants had significantly higher average daily walking distance (mean 2.6, SD 2.5; 95% CI 2.5-2.7 vs mean 2.4, SD 2.3; 95% CI 2.3-2.5; P<.001) and more moving average daily walking distance (mean 3.5, SD 1.3; 95% CI 3.4-3.6 vs mean 3.2, SD 0.8; 95% CI 3.1-3.3; P<.001). Moving average daily walking distances among intervention participants increased, which was also significantly higher than that of the control group (regression slope=0.0046 vs 0.0017; P<.001). Participants in the intervention group reported a growing sense of accountability and motivation. One barrier was completing weekly monitoring of patient-reported outcome surveys, which focused on symptoms and physical function and did not always align with participants' goals.
The HealthScore telehealth coaching program improved physical activity levels among cancer survivors and enhanced motivation and accountability. These findings support the integration of telehealth-based health coaching into posttreatment care, promoting healthier lifestyles and improved quality of life for cancer survivors.
ClinicalTrials.gov NCT04923997; https://clinicaltrials.gov/study/NCT04923997.","['Journal Article', 'Randomized Controlled Trial']",2026,clinical_trial
41538789,Personalized Transdiagnostic Cognitive Behavior Therapy With Midtreatment Stepped Care to Improve Mental Health Among University Students in Sweden: Feasibility Study for a Randomized Controlled Trial.,"University students show a high prevalence of diverse mental health problems, requiring adaptable interventions to assist them in improving their mental health.
This study aimed to evaluate the feasibility of transdiagnostic internet-delivered cognitive behavioral therapy (ICBT) for anxiety and depression in preparation for a randomized controlled trial. ICBT incorporated 2 innovative approaches to increase precision: user-steered content personalization and within-treatment adaptive modification based on early symptom trajectory.
This single-group, open-label study was conducted online in Sweden in the autumn of 2021, recruiting from students who had completed the World Health Organization (WHO) World Mental Health International College Student (WMH-ICS) mental health survey. Participants were eligible if they scored 5-19 on the Patient Health Questionnaire-9 (PHQ-9), or ≥5 on the Generalized Anxiety Disorder-7 (GAD-7), or both. Participants completed an 8-week ICBT program with therapist support. They initially personalized their program by selecting a primary problem orientation, anxiety or depression, and choosing additional elective modules, and could consult their therapist regarding these choices. At midtreatment, stepped care was piloted, in which participants without symptom improvement were randomized to adaptive enhancement of therapist support or to continue treatment as before. The main feasibility outcomes included data on reach and uptake, intervention acceptability, stepped care procedures, and assessment retention up to 6 months. The GAD-7 and PHQ-9 were the primary outcome measures, with changes in scores calculated using mixed effects models.
Of 749 invited students, 55 (7%) completed the study screening, and 28 (4%) were included. The GAD-7 baseline score was 9.5 (SD 4.4), and the PHQ-9 baseline score was 11.2 (SD 5.2). Participants opened 6.2 (SD 2.2) out of the 8 treatment modules. The user-directed personalization yielded 27 unique treatment configurations across 28 participants. At week 4, 16/27 (59%) participants remaining in treatment were randomized in the stepped care procedure. Ratings on self-report measures showed acceptable to good therapeutic alliance and treatment satisfaction. Eleven participants reported increased stress associated with the treatment. Reductions in depression and anxiety symptoms were observed at postmeasurement and 6 months follow-up, with 43% attrition at those times.
This pioneering study of personalized ICBT with adaptive change among university students demonstrated the overall feasibility of the treatment. To enhance the design of a future definitive trial, modifications are necessary to mitigate assessment attrition and reduce treatment-related stress.
ClinicalTrials.gov NCT05509660; https://clinicaltrials.gov/study/NCT05509660.","['Journal Article', 'Randomized Controlled Trial']",2026,clinical_trial
41538762,Olaparib in Patients With Solid Tumors With ,"The Targeted Agent and Profiling Utilization Registry Study is a phase II basket trial evaluating the antitumor activity of targeted agents in patients with advanced cancer and genomic alterations. Results of four cohorts of patients with 
Eligible patients had advanced solid tumors, measurable disease (RECIST), Eastern Cooperative Oncology Group performance status 0-2, adequate organ function, and no standard treatment options. The primary end point was disease control (DC), defined as objective response (OR) or stable disease (SD) of at least 16 weeks duration. For histology-specific cohorts, Simon's two-stage design was based on a null DC rate of 15% versus 35% (power = 0.85; 
Patients with CRC (n = 30), LC (n = 20), PC (n = 28), or other advanced cancers (n = 38) with 
Olaparib met the prespecified criteria to declare a signal of activity in patients with ","['Journal Article', 'Clinical Trial, Phase II']",2026,clinical_trial
41538533,Effect of adding indocyanine green to identifying sentinel lymph node in breast cancer patients after neoadjuvant chemotherapy.,"The aim of the study was to examine the effectiveness of adding indocyanine green fluorescence to the dual method, (Radioisotope+Isosulfanblue) for sentinel lymph node biopsy after neoadjuvant chemotherapy (on sentinel lymph nodes identification).
The 101 patients included in the study were randomized equally into each group. Dual method containing indocyanine green (group 1) or dual method alone (group 2) was used for sentinel lymph node mapping.
The sentinel lymph node identification rate was 86.9% in the dual method group and 94.6% in the triple method group. The detection rates of two or more sentinel lymph nodes were 82.6% in the dual group and 89.2% in the triple group. There was no statistically significant difference between both the groups (p>0.05).
Indocyanine green-based sentinel lymph node biopsy detection will bring a significant change in the management of patients in centers where there is no access to a nuclear medicine department. Nevertheless, multicenter studies with larger patient samples are needed to confirm our results.","['Journal Article', 'Randomized Controlled Trial']",2026,clinical_trial
41538517,Privacy Fact Sheets for Mitigating Disease-Related Privacy Concerns and Facilitating Equal Access to the Electronic Health Record: Randomized Controlled Trial.,"The German electronic health record (EHR) aims to enhance patient care and reduce costs, but users often worry about data privacy and security. To mitigate disease-related privacy concerns, for instance, surrounding stigmatized diseases, we test the effect of privacy fact sheets (PFSs)-a concise but comprehensive transparency feature designed to increase users' perceived control over their data-on increasing EHR use in a simulated online study.
The study aimed to investigate whether displaying a PFS shortly before upload decisions must be made mitigates disease-related privacy concerns and makes uploads more likely.
In an online survey study, 393 German participants from the recruitment platform Prolific were asked to interact with a randomly assigned medical report that varied systematically in terms of disease-related stigma (high vs low) and time course (TC; acute vs chronic). They were then asked to decide whether to upload the report to an EHR click dummy, while we systematically varied the presentation of privacy information (PFS vs no PFS). Participants were randomly (single-blinded) assigned to one of the 2×2×2 conditions (stigma, TC, privacy information).
All 393 participants were randomly assigned to one of the following groups: low, acute, no PFS (n=52, 13.2%); low, chronic, no PFS (n=45, 11.5%); high, acute, no PFS (n=46, 11.7%); high, chronic, no PFS (n=55, 14%); low, acute, PFS (n=44, 11.2%); low, chronic, PFS (n=41, 10.4%); high, acute, PFS (n=56, 14.2%); and high, chronic, PFS (n=54, 13.7%). The results show that, in general, upload behavior is negatively influenced by disease-related stigma (odds ratio [OR] 0.130; P<.001) and positively influenced when a PFS is given (OR 4.527; P<.001). This increase was particularly pronounced for stigmatized diseases (OR 5.952; P=.006), but independent of the TC of the diseases.
Our results demonstrate that PFSs may help to increase EHR uploads in people interacting with a realistic EHR click dummy, by mitigating privacy concerns in scenarios involving stigmatized diseases. Results further indicate that a PFS is mainly relevant and effective for people with increased privacy risk perceptions, whereas they neither benefit nor hurt others. Thus, implementing PFSs may increase the likelihood that users who perceive high privacy risks when confronted with sensitive or stigmatized health information decide to upload their data to the EHR, ultimately increasing digital health equity.","['Journal Article', 'Randomized Controlled Trial']",2026,clinical_trial
41538497,Salivary fluoride bioavailability after application of fluoride varnishes: A randomized clinical study.,"This study aimed to evaluate the bioavailability of F in saliva compartments (sediment and supernatant) after the use of fluoride varnishes (FV) with 5% sodium fluoride. In this randomized two-phase crossover clinical study, 15 participants were allocated into two groups and received application of Duraphat® and Fluorniz on the vestibular surface of the teeth. Unstimulated saliva was collected before the application of the FV, and 5 min, 15 min, 30 min, 1 h, 2 h, 4 h, 8 h, 12 h, 24 h, 48 h, and 96 h after application. For statistical analysis, a t-test was performed to compare the FV in the salivary compartments. The F in saliva at different times was compared with the baseline using analysis of variance, with Dunnett's post hoc test for multiple comparisons. After application, the F concentration in the salivary compartments increased (p < 0.001) and returned to baseline 24 h after application in the Duraphat® group and 8 h after application in the Fluorniz group. When comparing the salivary sediment and supernatant, there was a difference between the FV up to 48 h after application, with higher F concentrations observed in the Duraphat® group. The availability of F was higher after the use of Duraphat® (p < 0.05). The application of Duraphat® and Fluorniz increased the F concentration in saliva, and Fluorniz presented lower F bioavailability.","['Journal Article', 'Randomized Controlled Trial']",2026,clinical_trial
41538382,Exploratory Analysis of Urinary and Sexual Dysfunction in Patients With Low Anterior Resection Syndrome Undergoing Sacral Neuromodulation: Insights From the SANLARS Trial.,"Limited evidence is available on the effects of sacral neuromodulation on concomitant nondigestive symptoms of low anterior resection syndrome.
To assess the impact of sacral neuromodulation on urinary and sexual dysfunction in patients with low anterior resection syndrome.
Secondary analysis of a randomized, double-blinded, 2-phased, controlled, multicenter crossover trial (NCT02517853).
Three tertiary hospitals.
Patients with major low anterior resection syndrome 12 months after transit reconstruction after rectal resection who had failed conservative treatment.
Patients underwent an advanced test phase of stimulation for 3 weeks and received a pulse generator implant if a 50% reduction in a low anterior resection syndrome score was achieved. These patients entered the randomized phase in which the generator was left active or inactive for 4 weeks. After a 2-week washout, the sequence was changed. After the crossover, all generators were left activated.
Improvement of urinary and sexual dysfunction as assessed with validated questionnaires.
Data for 35 patients were analyzed. The International Consultation on Incontinence Questionnaire-Short Form for urinary incontinence score at baseline (5.09 ± 6.48) decreased by 46% (p = 0.002) and 35% (p = 0.023) at 6- and 12-month follow-up. The proportion of patients with several urine leaks per day decreased from 17.1% to 5.7% (baseline vs 12-month follow-up, p = 0.001). High confidence in keeping an erection increased from 0 to 13.6% (baseline vs 12-month follow-up, p = 0.002). Improvement in sexual function in the 7 female patients who reported being sexually active was less apparent. The Female Sexual Function Index score at baseline, 6-, and 12-month follow-up were 15.84 ± 3.17, 18.03 ± 1.44 (p = 0.433), and 16.53 ± 2.61 (p = 0.7).
This is a secondary analysis of a randomized trial, which could be underpowered for the current aim.
Neuromodulation seemed to ameliorate urinary dysfunction associated with low anterior resection syndrome. See Video Abstract.
ANTECEDENTES:Existen pocas pruebas disponibles sobre los efectos de la neuromodulación sacra en los síntomas no digestivos concomitantes del síndrome de resección anterior baja.OBJETIVO:Evaluar el impacto de la neuromodulación sacra en la disfunción urinaria y sexual en pacientes con síndrome de resección anterior baja.DISEÑO:Análisis secundario de un ensayo cruzado aleatorizado, doble ciego, en dos fases, controlado y multicéntrico (NCT02517853).ENTORNO:Tres hospitales terciarios.PACIENTES:Pacientes con una puntuación alta en el síndrome de resección anterior baja 12 meses después de la reconstrucción del tránsito tras una resección rectal en los que había fracasado el tratamiento conservador.INTERVENCIONES:Los pacientes se sometieron a una fase de prueba avanzada mediante estimulación durante 3 semanas y recibieron el implante de un generador de impulsos si se lograba una reducción del 50% en la puntuación del síndrome de resección anterior baja. Estos pacientes entraron en la fase aleatoria en la que el generador se dejó activo o inactivo durante 4 semanas. Tras un lavado de 2 semanas, se cambió la secuencia. Tras el cruce, todos los generadores se dejaron activados.PRINCIPALES MEDIDAS DE RESULTADO:Mejora de la disfunción urinaria y sexual evaluada con cuestionarios validados.RESULTADOS:Se analizaron los datos de 35 pacientes. El cuestionario internacional de consulta sobre incontinencia (ICIN) en su versión abreviada para la incontinencia urinaria (5,09 ± 6,48) disminuyó en un 46% (p = 0,002) y un 35% (p = 0,023) en el seguimiento a los 6 y 12 meses. Los pacientes con varias pérdidas de orina al día disminuyeron del 17,1% al 5,71% (valor inicial frente al seguimiento a los 12 meses, p = 0,001). La confianza en mantener una erección aumentó del 0 al 13,64% (valor inicial frente a seguimiento a los 12 meses, p = 0,002). La mejora de la función sexual en las 7 pacientes que declararon ser sexualmente activas fue menos evidente. La puntuación del Índice de Función Sexual Femenina al inicio del estudio, a los 6 y a los 12 meses de seguimiento fue de 15,84 ± 3,17, 18,03 ± 1,44 (p = 0,433) y 16,53 ± 2,61 (p = 0,7), respectivamente.LIMITACIONES:Se trata de un análisis secundario de un ensayo aleatorizado que podría carecer de la potencia estadística necesaria para el objetivo actual.CONCLUSIONES:La neuromodulación pareció mejorar la disfunción urinaria asociada al síndrome de resección anterior baja. (AI-generated translation).","['Journal Article', 'Randomized Controlled Trial', 'Multicenter Study', 'Video-Audio Media']",2026,clinical_trial
41538380,Effects of plyometric jump training on measures of physical fitness and lower-limb asymmetries in male soccer players according to maturity: A randomized controlled trial.,"The purpose of this study was to determine the effects plyometrics on dynamic balance, muscle power and lower limb asymmetries in youth soccer players according to maturity. 43 youth soccer players (23 pre pubertal and 20 post pubertal) were classified according to their peak height velocity (PHV) and participated in a 8-week progressive plyometrics training program or an active control with two weekly sessions, alongside three regular soccer-specific training sessions per week. Participants' training and performance caliber was rated Tier 2. While plyometrics training groups performed jumping and hopping exercises such as maximal and submaximal hopping on stable ground, active control groups performing passing skills. Pre and post training, tests included the Y balance test, single leg hop and 505 change-of-direction speed (CoD) tests; and lower limb asymmetries were calculated based upon these tests. The main findings were that plyometrics significantly improved these physical attributes, with greater enhancements observed in the post-Peak Height Velocity (PHV) group compared to both the pre-PHV group and the active control group. However, asymmetry did not improve after the training intervention and even increased for balance test in the post-PHV training groups compared with the pre-PHV groups at the post test. Plyometrics effectively enhances jumps, CoD and dynamic balance, with greater benefits observed in post- PHV male soccer players. While overall lower-limb asymmetry largely remained unchanged, a notable finding was an increase in balance asymmetry specifically within the post-PHV group, attributed to a differential enhancement of left and right limb balance.","['Journal Article', 'Randomized Controlled Trial']",2026,clinical_trial
